Date,Day,5p,6p,7p,8p,9p,10p
2018-02-08,Thursday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-02-09,Friday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-02-10,Saturday,America's News HQ (2 hours),,Fox Report Saturday,Watters' World,Justice With Judge Jeanine,The Greg Gutfeld Show
2018-02-11,Sunday,The Greg Gutfeld Show,Fox Report Sunday,,,The Next Revolution With Steve Hilton,Fox News Sunday With Chris Wallace
2018-02-12,Monday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-02-13,Tuesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-02-14,Wednesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-02-15,Thursday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-02-16,Friday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-02-17,Saturday,America's News HQ (2 hours),,Fox Report Saturday,Watters' World,Justice With Judge Jeanine,The Greg Gutfeld Show
2018-02-18,Sunday,The Greg Gutfeld Show,Fox Report Sunday,,,The Next Revolution With Steve Hilton,Fox News Sunday With Chris Wallace
2018-02-19,Monday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-02-20,Tuesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-02-21,Wednesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
